"SeasonStart","total3pa","total3pm","average3p"
1950,NA,NA,NA
1951,NA,NA,NA
1952,NA,NA,NA
1953,NA,NA,NA
1954,NA,NA,NA
1955,NA,NA,NA
1956,NA,NA,NA
1957,NA,NA,NA
1958,NA,NA,NA
1959,NA,NA,NA
1960,NA,NA,NA
1961,NA,NA,NA
1962,NA,NA,NA
1963,NA,NA,NA
1964,NA,NA,NA
1965,NA,NA,NA
1966,NA,NA,NA
1967,NA,NA,NA
1968,NA,NA,NA
1969,NA,NA,NA
1970,NA,NA,NA
1971,NA,NA,NA
1972,NA,NA,NA
1973,NA,NA,NA
1974,NA,NA,NA
1975,NA,NA,NA
1976,NA,NA,NA
1977,NA,NA,NA
1978,NA,NA,NA
1979,NA,NA,NA
1980,5522,1561,0.282687432089823
1981,4161,1035,0.24873828406633
1982,4655,1206,0.259076262083781
1983,4592,1091,0.237587108013937
1984,4599,1139,0.247662535333768
1985,6008,1692,0.281624500665779
1986,6677,1886,0.282462183615396
1987,9177,2753,0.299989103192765
1988,10735,3433,0.319795062878435
1989,14496,4678,0.322709713024283
1990,15361,5050,0.328754638369898
1991,16587,5307,0.31994935793091
1992,17433,5736,0.329031147823094
1993,20384,6836,0.335361067503925
1994,23031,7646,0.331987321436325
1995,35874,12809,0.357055248926799
1996,41535,15163,0.365065607319128
1997,44011,15806,0.359137488355184
1998,34026,11706,0.344031035090813
1999,20261,6874,0.339272493953902
2000,33792,11878,0.351503314393939
2001,34290,12087,0.35249343832021
2002,37517,13230,0.352640136471466
2003,37101,12933,0.348588986819762
2004,39708,13789,0.347259997985293
2005,43906,15643,0.356283879196465
2006,42898,15325,0.357242761900322
2007,44269,15825,0.357473627143148
2008,48484,17504,0.361026317960564
2009,50535,18529,0.366656772533887
2010,49184,17336,0.352472348731295
2011,52915,18902,0.357214400453558
2012,38277,13325,0.34812028110876
2013,52958,19002,0.358812643982024
2014,58438,21004,0.359423662685239
2015,63420,22080,0.348155156102176
2016,63889,22525,0.352564604235471
2017,73136,26140,0.357416320280026
NA,NA,NA,NA
